pulses;x;y;z
168;-0.155075;0.589249;-0.792084
169;-0.165939;0.525513;-0.677948
170;-0.144577;0.489639;-0.586929
171;-0.108322;0.554688;-0.597992
172;-0.201126;0.589935;-0.592117
173;-0.160400;0.645172;-0.642136
174;-0.211624;0.743958;-0.686157
175;-0.324158;0.639374;-0.652405
176;-0.552933;0.571716;-0.672424
177;-0.559296;0.609528;-0.737000
178;-0.334839;0.725235;-0.813950
179;-0.163925;0.810196;-0.817932
180;-0.103180;0.790833;-0.840012
181;-0.038239;0.751144;-0.841278
182;0.081924;0.708633;-0.877609
183;0.154358;0.674240;-0.854691
184;0.113220;0.624039;-0.793762
185;0.049820;0.607437;-0.761490
186;-0.063431;0.651886;-0.615555
187;-0.433731;0.480057;-0.290161
188;-0.619598;0.397827;-0.299377
189;-0.620972;0.625198;-0.398300
190;-0.559464;0.789963;-0.546509
191;-0.345139;0.950165;-0.813187
192;-0.216309;0.943634;-0.822937
193;-0.342834;0.844650;-0.798721
194;-0.285828;0.729416;-0.825958
195;-0.236679;0.662247;-0.773163
196;-0.210449;0.658554;-0.646927
197;-0.198624;0.612610;-0.607788
198;-0.111771;0.661087;-0.623505
199;-0.114853;0.773987;-0.697144
200;-0.173721;0.750122;-0.632141
201;-0.231140;0.683228;-0.583496
202;-0.268463;0.676865;-0.583725
203;-0.226242;0.659485;-0.606888
204;-0.165359;0.590302;-0.634338
205;-0.136749;0.723679;-0.583359
206;-0.294998;0.744965;-0.580109
207;-0.336258;0.797607;-0.584671
208;-0.394714;0.811188;-0.588440
209;-0.434280;0.809723;-0.558304
210;-0.428070;0.835999;-0.570419
211;-0.389404;0.797668;-0.562500
212;-0.290695;0.863235;-0.555954
213;-0.200378;0.721161;-0.559677
214;-0.056015;0.738571;-0.562912
215;-0.064758;0.821411;-0.600693
216;-0.045731;0.789764;-0.644562
217;-0.059647;0.788483;-0.593475
218;-0.198471;0.793533;-0.537582
219;-0.268280;0.740509;-0.519028
220;-0.277817;0.790436;-0.516785
221;-0.323090;0.796143;-0.524231
222;-0.367813;0.841003;-0.547791
223;-0.351303;0.820511;-0.548859
224;-0.229416;0.862549;-0.613861
225;-0.122955;0.826920;-0.581696
226;0.069366;0.800827;-0.596161
227;0.154083;0.767426;-0.610153
228;0.072281;0.770172;-0.532043
229;0.056885;0.822083;-0.507309
230;0.078522;0.856125;-0.521454
231;-0.028656;0.850952;-0.508438
232;-0.141632;0.882324;-0.487595
233;-0.197998;0.921341;-0.477509
234;-0.223984;0.957169;-0.489944
235;-0.262939;0.897675;-0.449844
